нілагерцаў	кілагерцаў
Кісліка	Кісліна
будаўніноў	будаўнікоў
Віцсбску	Віцебску
Хрушчоаа	Хрушчова
псраканацца	пераканацца
творзў	твораў
пятрэбна	патрэбна
гакога	такога
свяімі	сваімі
раэнастайнай	разнастайнай
ссльская	сельская
налгас	калгас
саллата	салдата
ганаровас	ганаровае
робяііь	робяць
эабеспячэння	забеспячэння
нсчакана	нечакана
нікавасцю	цікавасцю
студзсня	студзеня
Магілёўснага	Магілёўскага
тралыцыяй	традыцыяй
нялікае	вялікае
дзяпей	дзяцей
эвярнуўся	звярнуўся
злалося	здалося
замене	замгне
тпорчасці	творчасці
чалавсчых	чалавечых
мвйстры	майстры
сепьскай	сельскай
адкрынь	адкрыць
абслугоўван	абслугоўвай
пралукцыі	прадукцыі
блулніцы	блудніцы
насцей	касцей
Цімафееўна	Цімафееўка
внлікі	вылікі
ноўным	поўным
прысвсчан	прысвечан
злольны	здольны
стварас	стварае
нашлга	нашага
прысланых	прыспаных
норпус	корпус
раскрышія	раскрыцця
мелаль	медаль
нялікія	вялікія
чытаннсм	чытаннем
асаблівл	асабліва
лістаў	лістоў
Калентыў	Калектыў
эмяніўся	змяніўся
савенкую	савецкую
прыгадань	прыгадаць
прафссіянальнай	прафесіянальнай
беларускагя	беларускага
пераконанню	перакананню
адстайваў	адстойваў
эдраднікі	здраднікі
некальні	некалькі
заўсёдм	заўсёды
справя	справа
Вольгай	Вольтай
адэначыў	адзначыў
гсктараў	гектараў
чыгачоў	чытачоў
алчуць	адчуць
слмога	самога
памёрла	памерла
настрон	настрой
спеныяльных	спецыяльных
пальнам	пальцам
Глсбаў	Глебаў
нлродаў	народаў
жышіёвыя	жыццёвыя
артыкулв	артыкула
прамысловаіі	прамысловай
нлшага	нашага
каннэртах	канцэртах
дзіліся	даіліся
ныступілі	выступілі
Аленай	Азенай
слухачо	слухача
мяняешіа	мяняецца
развіваешіа	развіваецца
краіно	краіна
МІнсну	МІнску
мастацкагя	мастацкага
непасрэлна	непасрэдна
крочынь	крочыць
ствлрэння	стварэння
Міквлай	Мікалай
злабыткі	здабыткі
эдаровы	здаровы
працзс	працэс
эабеспячэнне	забеспячэнне
пензажы	пейзажы
тавлрыш	таварыш
малалосці	маладосці
кврысць	карысць
расназвае	расказвае
